gisjoin,white,black,AAPI,Hisp
G24000509802001,0,0,0,0
G24000908601011,1483,103,78,9
G24000908601012,1103,128,53,63
G24000908601021,1476,77,0,56
G24000908601022,683,40,0,47
G24000908602001,2355,175,68,44
G24000908602002,2734,664,22,141
G24000908603001,1719,151,0,71
G24000908603002,1169,313,6,0
G24000908603003,879,207,12,0
G24000908604011,2199,185,6,78
G24000908604012,785,37,5,7
G24000908604013,2613,155,34,199
G24000908604014,2537,372,158,37
G24000908604021,2390,394,12,29
G24000908604022,463,140,9,58
G24000908605011,2653,255,59,17
G24000908605012,2587,366,78,94
G24000908605021,1054,23,0,61
G24000908605022,1503,219,0,119
G24000908606001,2532,142,98,24
G24000908606002,1984,218,9,0
G24000908606003,1959,71,95,134
G24000908607011,2374,378,185,130
G24000908607021,960,202,0,41
G24000908607022,959,832,0,216
G24000908607031,988,584,12,18
G24000908607032,1308,351,0,320
G24000908608011,2129,532,0,58
G24000908608012,805,78,0,8
G24000908608013,2645,306,0,59
G24000908608021,507,110,0,0
G24000908608022,1151,56,0,83
G24000908608023,2390,283,38,62
G24000908609001,1773,952,12,172
G24000908609002,1234,67,11,14
G24000908609003,1165,68,0,32
G24000908609004,907,113,0,162
G24000908610011,997,49,15,23
G24000908610031,1541,623,30,175
G24000908610032,1460,60,0,0
G24000908610033,1575,441,0,44
G24000908610041,2062,9,19,71
G24000908610042,2280,247,88,91
G24000908610043,1569,196,56,25
G24000909901000,0,0,0,0
G24001109550001,1076,74,10,889
G24001109550002,981,172,0,216
G24001109551001,1508,20,0,0
G24001109551002,1353,242,0,175
G24001109551003,1760,15,15,19
G24001109552011,1595,215,0,111
G24001109552012,1136,483,17,49
G24001109552021,765,144,31,1
G24001109552022,844,144,10,36
G24001109553011,1767,121,0,0
G24001109553012,1807,208,14,86
G24001109553021,998,59,0,88
G24001109553022,589,57,0,138
G24001109553023,705,477,0,107
G24001109554001,581,0,0,0
G24001109554002,1264,135,8,14
G24001109555001,1000,117,0,34
G24001109555002,1114,371,25,0
G24001109555003,1476,6,51,0
G24001109556001,472,53,0,0
G24001109556002,1225,589,0,11
G24001109556003,451,217,0,111
G24001109556004,604,455,13,16
G24001305010011,1105,237,23,166
G24001305010012,2418,9,28,38
G24001305010013,399,0,0,0
G24001305010021,2679,91,0,23
G24001305010022,734,0,0,0
G24001305010023,1151,0,0,0
G24001305020001,1643,0,44,13
G24001305020002,2132,7,0,21
G24001305030001,630,52,0,27
G24001305030002,1602,22,0,250
G24001305030003,1092,41,0,0
G24001305030004,1646,11,0,0
G24001305041001,1296,17,49,82
G24001305041002,2264,337,9,25
G24001305041003,958,0,0,24
G24001305042011,1341,0,40,0
G24001305042012,1302,0,0,0
G24001305042013,1762,28,0,32
G24001305042014,1134,38,216,0
G24001305042021,1004,0,0,0
G24001305042022,2247,65,0,48
G24001305042023,1900,0,0,36
G24001305042024,739,59,0,22
G24001305051011,2054,87,11,65
G24001305051012,1890,43,38,21
G24001305051021,1509,40,88,0
G24001305051022,2164,0,11,20
G24001305051023,1810,7,0,48
G24001305052031,1811,8,107,0
G24001305052032,326,389,0,0
G24001305052033,748,32,47,0
G24001305052051,1500,33,85,107
G24001305052052,1381,0,59,156
G24001305052061,1446,11,68,33
G24001305052062,1754,0,42,32
G24001305052071,1283,0,80,76
G24001305052072,1962,119,73,114
G24001305052081,1476,41,39,0
G24001305052082,1939,78,25,157
G24001305052083,1461,29,14,0
G24001305061011,813,275,0,0
G24001305061012,1058,137,30,16
G24001305061013,2122,6,0,22
G24001305061021,1527,3,2,6
G24001305061022,2215,46,69,94
G24001305062001,1786,0,16,0
G24001305062002,710,0,46,0
G24001305062003,1059,28,0,20
G24001305062004,1257,0,0,0
G24001305075001,1228,15,24,4
G24001305075002,1239,125,105,35
G24001305075003,1098,189,70,97
G24001305076011,996,29,0,0
G24001305076012,2219,116,33,122
G24001305076013,1003,98,0,509
G24001305076021,1266,243,86,0
G24001305076022,1612,102,0,33
G24001305076023,765,121,0,10
G24001305077021,2045,202,128,169
G24001305077022,1121,30,0,23
G24001305077031,2126,163,27,0
G24001305077032,861,10,0,17
G24001305077041,1558,175,0,36
G24001305077042,1515,67,23,205
G24001305077043,1938,292,232,0
G24001305078011,2333,0,27,194
G24001305078012,1022,162,29,163
G24001305078013,1630,31,0,16
G24001305078021,1171,63,70,6
G24001305078022,894,0,0,26
G24001305078023,1347,0,0,0
G24001305078024,1064,0,0,0
G24001305081011,1629,45,17,8
G24001305081012,1284,85,0,0
G24001305081013,1538,11,70,0
G24001305081021,1826,0,0,22
G24001305081022,1152,13,0,38
G24001305082001,410,19,0,88
G24001305082002,2112,0,59,76
G24001305082003,892,0,13,116
G24001305082004,1655,0,21,15
G24001305082005,1568,0,0,0
G24001305090011,1518,21,30,22
G24001305090012,2485,23,0,84
G24001305090021,1254,0,0,62
G24001305090022,1337,0,0,43
G24001305100001,1398,39,0,54
G24001305110001,1380,14,20,51
G24001305110002,1146,6,0,0
G24001305110003,814,0,0,22
G24001305120001,733,84,0,36
G24001305120002,594,0,0,0
G24001305130011,2361,52,52,44
G24001305130012,425,0,0,30
G24001305130013,1299,21,44,96
G24001305130021,1493,7,18,127
G24001305130022,1331,18,0,157
G24001305130023,2123,82,3,48
G24001305141001,1343,35,57,0
G24001305141002,605,1,1,33
G24001305141003,1384,19,29,13
G24001305142011,1244,21,7,17
G24001305142012,2135,83,14,155
G24001305142013,1294,0,0,23
G24001305142021,1679,7,33,84
G24001305142022,1378,34,54,73
G24001500301001,1097,0,0,0
G24001500301002,1481,155,0,51
G24001500301003,1859,31,0,0
G24001500302001,998,17,0,25
G24001500302002,1088,5,0,32
G24001500302003,1466,4,11,293
G24001500302004,586,0,0,33
G24001500302005,451,96,0,0
G24001500304001,675,11,103,212
G24001500304002,894,347,0,12
G24001500304003,1302,184,0,194
G24001500304004,905,155,0,130
G24001500305011,1739,47,0,0
G24001500305012,2213,33,21,2
G24001500305031,881,0,33,33
G24001500305032,1286,193,11,234
G24001500305033,1438,54,99,144
G24001500305034,676,3,2,109
G24001500305051,2290,125,64,106
G24001500305052,972,335,0,0
G24001500305061,1546,596,0,62
G24001500305062,2081,507,166,175
G24001500305063,1917,39,82,193
G24001500306011,1117,104,4,60
G24001500306012,1569,9,13,0
G24001500306013,800,0,0,0
G24001500306021,1772,0,0,71
G24001500306022,1893,1026,56,296
G24001500307001,1500,96,0,0
G24001500307002,1970,15,11,30
G24001500307003,1475,0,0,0
G24001500309031,1553,397,45,0
G24001500309032,2838,210,44,366
G24001500309041,656,41,16,0
G24001500309042,1149,0,0,0
G24001500309043,1899,2,0,0
G24001500309044,1249,51,0,19
G24001500309045,1907,56,0,0
G24001500309051,1004,8,0,35
G24001500309052,1744,49,0,112
G24001500309061,3541,87,33,32
G24001500309062,1117,0,0,0
G24001500309063,3591,171,206,56
G24001500309064,1064,128,0,0
G24001500312011,1641,87,16,0
G24001500312012,2122,46,0,151
G24001500312013,1564,169,2,28
G24001500312021,1238,144,124,215
G24001500312022,1001,332,37,97
G24001500312023,1467,344,55,113
G24001500313011,1709,0,0,55
G24001500313012,1536,29,0,86
G24001500313021,2499,26,0,12
G24001500313022,1764,2,24,99
G24001500313023,2188,0,0,0
G24001500314001,1940,16,39,68
G24001500314002,1982,25,0,46
G24001708501011,799,1741,110,235
G24001708501012,691,1397,107,290
G24001708501021,623,477,18,78
G24001708501022,426,530,27,0
G24001708502011,672,191,34,154
G24001708502021,520,781,69,154
G24001708502022,1153,104,0,8
G24001708502023,472,1183,3,21
G24001708503001,697,423,7,61
G24001708503002,550,230,17,0
G24001708504001,240,207,6,0
G24001708504002,925,480,0,0
G24001708504003,1058,598,0,0
G24001708505001,1074,351,0,12
G24001708505002,1127,29,0,0
G24001708506001,491,1085,151,21
G24001708506002,671,427,46,10
G24001708506003,1384,210,70,95
G24001708507061,1240,2396,287,126
G24001708507062,293,662,54,58
G24001708507081,940,1256,136,60
G24001708507082,944,1655,156,87
G24001708507091,411,2716,69,129
G24001708507092,351,268,0,416
G24001708507093,291,1709,91,95
G24001708507101,896,1661,213,87
G24001708507102,1132,1510,51,142
G24001708507111,681,1560,61,182
G24001708507112,206,538,12,0
G24001708507113,206,1150,176,139
G24001708507121,1326,1109,46,80
G24001708507122,992,1760,82,121
G24001708507131,1187,2353,242,451
G24001708507132,1531,1329,154,136
G24001708508011,416,318,32,26
G24001708508012,461,373,4,77
G24001708508013,624,273,34,124
G24001708508014,1110,803,26,17
G24001708508021,617,916,41,95
G24001708508022,84,751,8,403
G24001708508023,824,267,0,16
G24001708509011,807,899,40,149
G24001708509012,302,1385,8,54
G24001708509013,289,943,0,0
G24001708509021,497,992,68,492
G24001708509022,1349,698,244,139
G24001708509023,484,607,227,63
G24001708509041,961,4633,327,426
G24001708509042,985,209,9,37
G24001708509051,827,874,28,190
G24001708509052,796,1210,37,198
G24001708509061,406,673,0,50
G24001708509062,257,845,0,13
G24001708509063,750,1047,55,18
G24001708510011,660,310,0,9
G24001708510012,1783,578,27,37
G24001708510021,580,68,0,0
G24001708510022,843,1161,0,85
G24001708510023,568,285,150,175
G24001708510024,966,639,40,26
G24001708510025,1138,66,0,84
G24001708510026,2091,154,89,102
G24001708511001,636,11,4,48
G24001708511002,1618,290,9,20
G24001708512001,1233,185,21,0
G24001708512002,744,69,15,0
G24001708512003,800,163,35,16
G24001708512004,1185,251,0,24
G24001708513011,1138,209,26,42
G24001708513012,2584,210,91,156
G24001708513021,45,433,0,18
G24001708513022,1058,165,37,96
G24001708513023,2029,300,85,40
G24001708514001,1381,265,0,94
G24001708514002,2000,968,150,126
G24001708514003,886,168,43,0
G24001708514004,1474,415,79,220
G24001708515001,338,1096,0,121
G24001708515002,340,1854,123,95
G24001708515003,1213,2083,193,270
G24001709900000,0,0,0,0
G24001909701001,579,183,0,70
G24001909701002,703,35,11,0
G24001909701003,512,477,0,102
G24001909702001,475,390,0,0
G24001909702002,1546,307,19,71
G24001909702003,719,465,0,137
G24001909702004,405,374,0,26
G24001909703001,1216,6,12,113
G24001909703002,824,258,0,30
G24001909703003,1087,0,19,0
G24001909703004,770,180,0,36
G24001909704001,556,172,0,4
G24001909704002,605,175,45,196
G24001909704003,494,191,0,152
G24001909704004,864,56,3,37
G24001909705001,44,526,4,0
G24001909705002,875,1146,0,40
G24001909705003,0,960,0,182
G24001909706001,1154,674,139,159
G24001909706002,350,1012,0,0
G24001909706003,266,878,24,4
G24001909707021,836,64,8,6
G24001909707022,327,6,0,41
G24001909707023,803,0,7,28
G24001909707024,1637,64,18,71
G24001909708041,761,10,3,10
G24001909708042,1146,104,12,1
G24001909709001,607,195,0,0
G24001909709002,708,29,10,0
G24001909900000,0,0,0,0
G24002107402001,346,0,0,0
G24002107402002,1269,115,30,51
G24002107402003,1453,85,21,7
G24002107402004,1094,150,10,128
G24002107501001,506,52,0,62
G24002107501002,598,62,22,50
G24002107502001,494,0,0,14
G24002107502002,1118,42,43,31
G24002107503001,516,267,0,140
G24002107503002,326,204,0,105
G24002107505031,461,517,396,258
G24002107505032,201,208,0,1160
G24002107505033,14,73,0,634
G24002107505034,162,148,10,17
G24002107505035,1000,843,0,567
G24002107505041,531,683,124,126
G24002107505042,792,196,181,119
G24002107505043,864,807,274,67
G24002107505044,19,358,19,58
G24002107505051,644,417,357,793
G24002107505052,860,160,89,189
G24002107505053,820,637,206,2006
G24002107505061,867,289,289,33
G24002107505062,535,269,236,165
G24002107505063,827,85,127,474
G24002107506001,899,76,33,197
G24002107506002,433,0,0,13
G24002107506003,762,24,0,8
G24002107507011,1593,447,143,442
G24002107507012,969,333,71,280
G24002107507013,645,215,0,81
G24002107507021,1074,361,105,242
G24002107507022,128,590,60,88
G24002107507023,843,13,0,86
G24002107508011,510,92,0,0
G24002107508012,1265,316,96,131
G24002107508013,585,89,0,115
G24002107508021,1274,192,12,326
G24002107508022,605,65,24,46
G24002107508023,1470,176,8,127
G24002107508031,1424,339,176,474
G24002107508032,1056,241,91,0
G24002107508033,1909,339,41,214
G24002107510011,621,121,125,76
G24002107510021,1625,0,142,62
G24002107510022,484,52,0,18
G24002107510023,1130,339,203,39
G24002107510024,365,341,151,28
G24002107510031,994,321,100,755
G24002107510032,1136,821,377,16
G24002107510033,855,0,0,158
G24002107510041,577,52,41,0
G24002107510042,2064,356,143,519
G24002107512011,549,353,72,207
G24002107512012,1327,160,110,54
G24002107512013,1429,0,99,185
G24002107512021,1019,384,26,0
G24002107512022,1788,315,183,115
G24002107512023,694,34,226,247
G24002107512024,592,237,31,65
G24002107512031,832,11,0,70
G24002107512032,203,13,0,0
G24002107512033,851,37,0,8
G24002107513011,1039,0,0,18
G24002107513012,1937,54,41,105
G24002107513021,1472,26,99,106
G24002107513022,1483,16,6,0
G24002107516001,1176,0,0,55
G24002107516002,1484,83,0,115
G24002107517011,579,0,0,44
G24002107517012,945,28,0,52
G24002107517013,714,0,0,10
G24002107517021,1369,1,47,3
G24002107517022,1460,11,55,49
G24002107517023,778,0,78,19
G24002107518011,930,125,83,71
G24002107518012,911,11,27,0
G24002107518013,928,12,0,58
G24002107518014,1149,25,23,178
G24002107518021,1386,10,7,9
G24002107518022,1555,0,6,7
G24002107518023,702,1,0,10
G24002107519011,670,32,0,56
G24002107519012,1535,142,0,68
G24002107519013,1982,45,40,44
G24002107519021,1875,224,151,444
G24002107519022,1502,0,110,107
G24002107519023,1399,48,86,135
G24002107519031,979,0,101,0
G24002107519032,907,9,0,15
G24002107519033,869,293,53,0
G24002107519034,133,14,78,0
G24002107519035,1294,0,0,0
G24002107519036,1269,0,0,0
G24002107519041,1058,130,67,31
G24002107519042,1442,232,19,211
G24002107520011,1566,49,16,74
G24002107520012,1286,0,75,69
G24002107520013,1706,82,23,0
G24002107521011,1689,56,81,45
G24002107521012,1103,0,0,66
G24002107521021,1607,0,0,35
G24002107521022,1101,0,0,20
G24002107521023,110,0,0,0
G24002107521024,1149,0,0,36
G24002107522011,1104,64,21,23
G24002107522012,855,20,32,7
G24002107522021,975,174,139,180
G24002107522022,881,94,290,169
G24002107522023,482,78,374,30
G24002107522041,614,17,8,0
G24002107522042,1389,208,692,307
G24002107522043,622,325,223,17
G24002107522044,1913,96,394,178
G24002107523011,1605,308,78,443
G24002107523012,140,200,9,170
G24002107523013,1000,240,117,203
G24002107523021,768,23,14,0
G24002107523022,2239,159,12,58
G24002107523023,683,10,0,33
G24002107523031,254,61,93,140
G24002107523032,737,22,0,154
G24002107523033,1493,180,59,54
G24002107525011,1173,30,0,28
G24002107525012,1352,0,0,0
G24002107525013,681,22,31,35
G24002107525014,1504,65,30,9
G24002107525021,1510,77,21,31
G24002107525022,840,44,0,6
G24002107526011,1102,0,0,42
G24002107526012,827,14,11,0
G24002107526013,827,36,74,52
G24002107526014,799,17,58,0
G24002107526021,631,0,24,49
G24002107526022,420,0,7,0
G24002107526023,1522,34,0,70
G24002107526031,749,49,12,38
G24002107526032,1561,0,52,0
G24002107526033,1087,12,33,188
G24002107528011,1304,0,0,6
G24002107528012,780,0,0,0
G24002107528021,1060,0,0,52
G24002107528022,2218,83,50,144
G24002107529001,1015,73,0,32
G24002107529002,2062,0,0,110
G24002107530011,592,0,0,0
G24002107530012,1479,0,13,0
G24002107530013,175,0,0,12
G24002107530014,167,0,0,0
G24002107530015,1210,0,0,10
G24002107530016,1070,38,31,9
G24002107530021,235,0,0,0
G24002107530022,854,0,0,0
G24002107530023,1532,7,0,0
G24002107530024,330,0,0,0
G24002107651001,900,396,302,329
G24002107651002,777,169,35,21
G24002107651003,580,131,23,51
G24002107668001,1596,74,16,8
G24002107668002,974,35,185,18
G24002107668003,1801,227,87,165
G24002107668004,699,23,0,6
G24002107675001,871,0,0,0
G24002107675002,988,0,0,0
G24002107675003,757,0,0,30
G24002107676001,1239,0,22,170
G24002107676002,1111,24,9,166
G24002107676003,610,0,8,0
G24002107707001,1374,0,0,43
G24002107707002,1022,0,0,74
G24002107707003,895,0,52,13
G24002107722001,420,71,37,55
G24002107722002,604,43,8,57
G24002107735001,770,62,90,35
G24002107735002,636,326,30,200
G24002107735003,1688,14,113,99
G24002107753021,655,0,0,79
G24002107753022,8,0,0,11
G24002107753023,561,9,0,117
G24002107753024,370,40,0,11
G24002107753025,978,42,0,52
G24002107753026,818,220,15,112
G24002107754001,717,0,0,40
G24002107754002,556,0,0,33
G24002107754003,669,28,0,7
G24002107754004,650,57,0,25
G24002107754005,719,102,0,0
G24002107756001,1164,8,0,99
G24002107756002,987,115,27,88
G24002107756003,1195,13,34,71
G24002300001001,1178,0,0,0
G24002300001002,1633,0,1,1
G24002300001003,1122,0,0,19
G24002300002001,1981,10,0,5
G24002300002002,2020,0,14,0
G24002300003001,1603,3,0,22
G24002300003002,1118,47,5,7
G24002300004001,1139,19,0,8
G24002300004002,804,0,1,50
G24002300004003,930,0,2,0
G24002300005001,884,0,41,35
G24002300005002,1530,8,0,17
G24002300005003,1372,0,0,29
G24002300006001,1311,0,0,0
G24002300006002,471,0,0,0
G24002300006003,938,68,0,17
G24002300006004,1215,11,29,15
G24002300006005,1325,0,0,0
G24002300006006,721,0,0,0
G24002300007001,1488,0,6,73
G24002300007002,2592,21,0,2
G24002300007003,1343,0,0,1
G24002503011021,1075,0,106,110
G24002503011022,1119,196,86,85
G24002503011023,741,44,0,13
G24002503011051,1598,78,0,82
G24002503011052,1806,182,10,0
G24002503011061,1266,18,6,32
G24002503011062,2339,102,61,37
G24002503011071,804,255,23,23
G24002503011072,1499,362,153,147
G24002503011081,1047,249,0,123
G24002503011082,1351,0,16,17
G24002503011083,347,15,0,0
G24002503012011,883,0,0,8
G24002503012012,1159,0,8,0
G24002503012021,1529,131,92,117
G24002503012022,764,183,0,24
G24002503012023,1101,39,22,0
G24002503012024,2140,156,521,63
G24002503012041,3051,355,200,129
G24002503012051,865,110,20,293
G24002503012052,1378,188,40,27
G24002503012053,924,84,0,99
G24002503013011,1444,390,42,132
G24002503013012,1277,315,54,211
G24002503013013,442,86,14,8
G24002503013021,431,1623,0,132
G24002503013022,465,1401,0,103
G24002503013023,386,541,0,80
G24002503013024,788,537,0,131
G24002503014011,795,121,87,46
G24002503014012,2106,562,0,118
G24002503014013,1498,170,37,315
G24002503014014,1165,114,0,41
G24002503014021,579,82,94,0
G24002503014022,1165,388,48,248
G24002503016011,376,85,0,33
G24002503016012,570,858,0,181
G24002503016013,635,310,0,117
G24002503016014,865,628,0,19
G24002503016015,656,1008,51,480
G24002503016021,930,570,0,118
G24002503016022,1450,841,68,381
G24002503016023,1666,1028,75,360
G24002503017021,1546,709,56,129
G24002503017022,1773,309,48,224
G24002503017023,298,150,56,0
G24002503017024,171,28,0,39
G24002503017025,1068,1381,89,299
G24002503017031,1377,1063,179,62
G24002503017032,1534,482,16,105
G24002503017041,997,198,21,182
G24002503017042,983,669,133,111
G24002503021001,1248,15,0,6
G24002503021002,721,0,0,23
G24002503022001,324,0,17,0
G24002503022002,2143,310,63,0
G24002503024001,1252,93,0,30
G24002503024002,467,570,0,14
G24002503024003,647,305,0,0
G24002503028011,776,64,38,12
G24002503028012,537,173,60,18
G24002503028013,1036,514,49,131
G24002503028021,706,105,173,12
G24002503028022,705,476,11,31
G24002503028023,1309,502,54,68
G24002503028024,418,408,59,320
G24002503029011,439,493,19,137
G24002503029012,752,450,0,109
G24002503029021,597,135,29,23
G24002503029022,554,366,90,12
G24002503029023,836,947,153,92
G24002503031011,579,0,0,0
G24002503031012,467,144,0,14
G24002503031013,389,49,0,0
G24002503031014,2329,23,121,0
G24002503031015,1650,59,0,0
G24002503031021,1808,54,48,106
G24002503031022,689,11,74,31
G24002503032011,485,0,0,0
G24002503032012,1004,12,16,5
G24002503032013,2056,140,193,48
G24002503032014,1510,46,19,49
G24002503032031,673,28,14,0
G24002503032032,1510,50,20,117
G24002503032033,1108,11,0,30
G24002503032041,2446,45,31,108
G24002503032042,514,131,0,0
G24002503032043,1129,52,57,35
G24002503032051,1578,29,0,0
G24002503032061,2110,142,14,28
G24002503032062,992,36,0,15
G24002503033001,2962,0,0,11
G24002503033002,588,0,0,0
G24002503033003,1408,0,0,21
G24002503033004,769,0,0,0
G24002503034001,1961,45,50,50
G24002503034002,735,10,9,71
G24002503034003,1305,21,0,42
G24002503035011,2397,145,45,21
G24002503035012,3406,73,90,94
G24002503035021,372,0,0,0
G24002503035022,1248,93,0,43
G24002503035023,742,89,0,0
G24002503035024,959,0,9,0
G24002503036021,1664,0,76,43
G24002503036022,1886,0,71,32
G24002503036031,1402,386,121,0
G24002503036032,1412,0,81,0
G24002503036033,657,0,0,85
G24002503036034,2561,17,113,62
G24002503036051,2237,179,67,32
G24002503036052,2420,307,282,250
G24002503036061,2876,188,133,51
G24002503037001,722,27,0,155
G24002503037002,841,27,0,22
G24002503037003,1831,78,75,115
G24002503038011,731,178,0,18
G24002503038012,1394,151,15,56
G24002503038021,1704,241,30,49
G24002503038031,1933,120,0,22
G24002503038032,1036,26,258,0
G24002503038033,1055,0,0,37
G24002503038034,449,29,0,0
G24002503039001,2213,30,72,44
G24002503041011,2431,20,11,41
G24002503041012,1728,8,0,43
G24002503041021,1689,0,18,0
G24002503041022,870,86,0,0
G24002503041023,1117,0,0,0
G24002503042011,797,0,0,0
G24002503042012,2676,141,0,188
G24002503042013,973,1,0,38
G24002503042014,671,76,0,0
G24002503042015,1125,21,0,0
G24002503042021,2738,0,17,24
G24002503042022,717,0,0,0
G24002503042023,923,0,0,0
G24002503042024,1376,0,0,13
G24002503042025,1133,0,31,0
G24002503051001,2567,0,0,0
G24002503051002,1822,35,0,0
G24002503051003,1546,19,0,4
G24002503051004,1092,61,0,16
G24002503052001,539,17,0,0
G24002503052002,1240,80,0,12
G24002503052003,606,0,0,0
G24002503053001,773,31,0,77
G24002503053002,1352,0,5,0
G24002503061001,226,375,0,64
G24002503061002,581,201,0,18
G24002503061003,1398,133,27,94
G24002503061004,216,297,0,8
G24002503062001,787,102,12,45
G24002503062002,600,105,0,23
G24002503062003,401,43,23,6
G24002503063001,512,0,16,23
G24002503063002,171,136,0,0
G24002503063003,1084,170,210,12
G24002503064001,364,11,0,44
G24002503064002,681,28,38,86
G24002503064003,1083,47,75,91
G24002503064004,1032,634,72,0
G24002503064005,546,98,94,0
G24002503064006,1133,148,115,0
G24002503065001,104,75,16,21
G24002503065002,343,60,9,19
G24002503065003,997,523,85,314
G24002706011031,1838,295,892,267
G24002706011032,1346,213,479,33
G24002706011033,812,78,28,16
G24002706011041,1035,352,489,163
G24002706011042,2268,168,756,134
G24002706011043,536,135,118,10
G24002706011051,1180,430,780,24
G24002706011052,543,78,30,68
G24002706011053,893,84,83,4
G24002706011071,1772,295,170,876
G24002706011072,480,305,1066,79
G24002706011081,1109,294,642,88
G24002706011082,649,422,279,143
G24002706012011,645,287,109,69
G24002706012012,1276,498,97,286
G24002706012013,375,309,167,278
G24002706012014,1402,235,111,106
G24002706012015,1088,405,153,0
G24002706012031,1114,1733,338,421
G24002706012032,603,504,165,113
G24002706012041,1867,448,399,670
G24002706012042,1289,369,198,136
G24002706021001,887,0,26,0
G24002706021002,1099,146,279,117
G24002706021003,669,174,46,1
G24002706021004,836,0,385,69
G24002706021005,1267,97,531,0
G24002706021006,765,0,17,15
G24002706022011,1455,181,592,134
G24002706022012,759,44,164,11
G24002706022021,1236,19,64,0
G24002706022022,1658,83,533,80
G24002706022023,1355,84,231,33
G24002706023021,2367,412,422,186
G24002706023022,732,384,54,0
G24002706023023,924,676,1173,22
G24002706023031,754,143,992,0
G24002706023032,512,0,228,0
G24002706023033,822,131,217,43
G24002706023041,1051,0,399,15
G24002706023042,1036,59,625,81
G24002706023043,1080,273,229,116
G24002706023051,1233,82,67,34
G24002706023052,1431,129,582,116
G24002706023061,1387,438,537,65
G24002706023062,2225,165,529,110
G24002706026001,1163,339,1036,18
G24002706026002,643,142,95,34
G24002706026003,586,265,2337,520
G24002706027001,1337,209,603,78
G24002706027002,2274,159,205,182
G24002706028001,974,237,979,30
G24002706028002,623,100,688,0
G24002706028003,1644,115,614,36
G24002706029001,601,309,518,50
G24002706029002,1288,788,1301,187
G24002706030011,1213,170,351,1
G24002706030012,868,0,717,0
G24002706030013,1744,16,773,0
G24002706030031,1881,102,81,99
G24002706030032,1256,71,302,42
G24002706030041,2106,91,102,145
G24002706030042,1967,123,680,68
G24002706030043,683,213,81,0
G24002706040011,1949,0,20,0
G24002706040012,2024,69,104,76
G24002706040013,1650,17,30,3
G24002706040021,1024,0,12,43
G24002706040022,1355,129,57,20
G24002706040023,2504,243,224,64
G24002706040024,1882,26,335,0
G24002706051021,1939,231,407,76
G24002706051022,1478,232,815,191
G24002706051023,1690,563,617,136
G24002706051024,1650,54,57,19
G24002706051031,1734,137,197,39
G24002706051032,2259,199,303,91
G24002706051041,1787,87,525,37
G24002706051042,1783,133,797,122
G24002706054011,978,397,195,503
G24002706054012,489,71,44,78
G24002706054013,566,179,234,78
G24002706054014,444,74,327,0
G24002706054021,177,701,44,452
G24002706054022,914,704,62,421
G24002706054023,670,104,163,0
G24002706054024,953,784,499,119
G24002706055021,1252,405,181,27
G24002706055022,1017,773,242,2
G24002706055023,673,312,12,15
G24002706055031,737,0,0,113
G24002706055032,1440,876,157,202
G24002706055033,339,1909,343,376
G24002706055041,1728,140,870,37
G24002706055051,2060,492,1285,136
G24002706055052,1545,42,634,25
G24002706056011,811,934,245,93
G24002706056012,1033,335,125,145
G24002706056013,878,437,56,123
G24002706056014,927,249,93,76
G24002706056021,720,267,201,170
G24002706056022,1761,636,195,175
G24002706056023,1025,148,187,0
G24002706056024,1089,274,257,399
G24002706066011,1086,251,26,35
G24002706066012,821,475,67,18
G24002706066031,609,693,369,497
G24002706066032,436,579,67,645
G24002706066033,556,338,50,115
G24002706066034,326,275,203,63
G24002706066035,766,438,70,19
G24002706066041,574,824,147,346
G24002706066042,1270,639,428,232
G24002706066061,734,720,393,35
G24002706066062,1201,827,423,293
G24002706066071,1354,496,226,262
G24002706066072,867,758,351,666
G24002706067011,1163,12,35,228
G24002706067012,1104,108,79,32
G24002706067041,1111,398,421,205
G24002706067042,761,1358,394,524
G24002706067043,1110,376,53,69
G24002706067051,1362,327,127,82
G24002706067061,272,228,185,94
G24002706067062,1243,549,637,29
G24002706067063,807,245,234,0
G24002706067071,794,1177,241,184
G24002706067072,396,627,72,129
G24002706068031,1741,409,437,13
G24002706068032,1270,1068,81,18
G24002706068033,535,162,132,19
G24002706068041,1358,621,257,133
G24002706068042,742,256,83,91
G24002706068051,481,227,587,26
G24002706068052,861,47,57,23
G24002706068053,1407,88,64,87
G24002706068061,1838,825,864,183
G24002706068062,1200,298,490,165
G24002706068063,990,109,62,0
G24002706069011,540,916,247,39
G24002706069012,740,359,0,18
G24002706069013,998,580,526,26
G24002706069014,585,115,17,23
G24002706069041,675,651,207,118
G24002706069042,462,356,122,26
G24002706069043,436,959,199,204
G24002706069051,971,271,75,166
G24002706069052,997,487,129,51
G24002706069053,1400,1271,717,359
G24002706069061,1399,839,296,369
G24002706069062,840,988,460,574
G24002706069071,364,967,370,117
G24002706069072,758,714,200,164
G24002706069073,689,603,505,377
G24002909501001,1318,14,1,88
G24002909501002,618,103,0,198
G24002909501003,855,132,8,65
G24002909501004,179,117,0,121
G24002909502001,1099,173,0,0
G24002909502002,1097,216,10,19
G24002909502003,711,56,0,35
G24002909502004,526,48,0,63
G24002909502005,530,96,0,76
G24002909503001,862,672,39,29
G24002909503002,1412,62,0,1
G24002909503003,1219,50,141,51
G24002909503004,630,348,0,32
G24002909504001,871,209,0,56
G24002909504002,723,130,0,0
G24002909504003,597,237,4,10
G24002909505001,795,12,1,15
G24002909505002,686,124,0,0
G24002909505003,762,134,3,11
G24002909900000,0,0,0,0
