gisjoin,white,black,AAPI,Hisp,id
G24000307311031,1633,38,164,27,24000307311031
G24000307311032,1537,377,8,184,24000307311032
G24000307311033,998,26,100,0,24000307311033
G24000307311041,2126,153,20,59,24000307311041
G24000307311042,1420,71,63,163,24000307311042
G24000307311051,1434,42,16,8,24000307311051
G24000307311052,1621,16,91,49,24000307311052
G24000307312011,2280,0,21,122,24000307312011
G24000307312012,1222,0,0,15,24000307312012
G24000307312013,790,92,13,0,24000307312013
G24000307312014,1829,0,22,22,24000307312014
G24000307312021,1537,2,0,145,24000307312021
G24000307312022,1005,27,0,0,24000307312022
G24000307312023,1256,96,0,0,24000307312023
G24000307312024,1674,29,0,20,24000307312024
G24000307312025,1444,0,0,0,24000307312025
G24000307312031,973,47,0,0,24000307312031
G24000307312032,1695,0,9,16,24000307312032
G24000307312033,2361,50,56,49,24000307312033
G24000307312034,691,71,18,56,24000307312034
G24000307312035,540,43,15,134,24000307312035
G24000307312041,1679,0,47,28,24000307312041
G24000307312042,1753,180,0,240,24000307312042
G24000307312043,941,93,63,0,24000307312043
G24000307312044,990,2,61,99,24000307312044
G24000307313031,1423,37,0,0,24000307313031
G24000307313032,2038,0,65,40,24000307313032
G24000307313033,1425,17,16,0,24000307313033
G24000307313034,1261,0,8,0,24000307313034
G24000307313061,423,0,0,0,24000307313061
G24000307313062,1156,17,0,0,24000307313062
G24000307313063,1791,0,63,203,24000307313063
G24000307313064,498,0,0,0,24000307313064
G24000307313065,1653,73,0,0,24000307313065
G24000307313071,2191,278,66,54,24000307313071
G24000307313072,1856,74,0,15,24000307313072
G24000307313073,1842,35,0,20,24000307313073
G24000307313081,2278,32,79,48,24000307313081
G24000307313082,1198,0,0,12,24000307313082
G24000307313091,2095,378,15,89,24000307313091
G24000307313092,2021,81,22,111,24000307313092
G24000307313093,941,0,0,0,24000307313093
G24000307313101,1978,2,8,96,24000307313101
G24000307313102,1506,33,114,7,24000307313102
G24000307313103,1237,177,0,134,24000307313103
G24000307313111,1792,107,0,0,24000307313111
G24000307313112,2282,239,87,269,24000307313112
G24000307313113,2702,129,81,129,24000307313113
G24000307401021,1673,251,0,182,24000307401021
G24000307401022,3000,1799,1677,418,24000307401022
G24000307401023,468,0,0,0,24000307401023
G24000307401031,1567,526,260,183,24000307401031
G24000307401032,1426,554,213,207,24000307401032
G24000307401033,590,1009,183,158,24000307401033
G24000307401034,479,535,167,123,24000307401034
G24000307401041,1261,781,348,168,24000307401041
G24000307401042,1105,681,302,123,24000307401042
G24000307401043,588,2484,18,460,24000307401043
G24000307401051,493,1676,138,310,24000307401051
G24000307401052,128,859,55,0,24000307401052
G24000307402011,938,102,54,83,24000307402011
G24000307402012,654,805,64,95,24000307402012
G24000307402013,821,486,361,110,24000307402013
G24000307402014,1492,527,114,754,24000307402014
G24000307402031,2602,469,184,122,24000307402031
G24000307402032,1924,347,52,212,24000307402032
G24000307403031,1766,133,18,90,24000307403031
G24000307403032,1313,317,242,438,24000307403032
G24000307403041,1859,858,176,277,24000307403041
G24000307403042,1066,151,63,17,24000307403042
G24000307403051,692,555,0,273,24000307403051
G24000307403052,1730,3126,209,209,24000307403052
G24000307403053,194,2404,107,468,24000307403053
G24000307403054,302,516,262,121,24000307403054
G24000307404001,1552,3545,34,235,24000307404001
G24000307405001,1520,2388,447,214,24000307405001
G24000307405002,672,510,216,36,24000307405002
G24000307405003,1394,2116,251,322,24000307405003
G24000307406011,0,0,0,0,24000307406011
G24000307406012,196,87,30,48,24000307406012
G24000307406013,369,146,28,97,24000307406013
G24000307406014,1597,584,53,393,24000307406014
G24000307406021,1162,429,93,346,24000307406021
G24000307406022,405,298,47,98,24000307406022
G24000307406031,677,65,48,44,24000307406031
G24000307406032,1023,212,40,310,24000307406032
G24000307407011,995,315,107,83,24000307407011
G24000307407012,1028,398,159,209,24000307407012
G24000307407013,1761,276,79,61,24000307407013
G24000307407021,4938,810,227,197,24000307407021
